ticker,name
ADN,Aberdeen Asset Management
ADM,Admiral Group
AGK,Aggreko
AMEC,AMEC
AAL,Anglo American plc
ANTO,Antofagasta
ARM,ARM Holdings
ABF,Associated British Foods
AZN,AstraZeneca
AV,Aviva
BAB,Babcock International
BA,BAE Systems
BARC,Barclays
BG,BG Group
BLT,BHP Billiton
BP,BP
BTI,British American Tobacco
BLND,British Land Co
BSY,BSkyB
BT_A,BT Group
BNZL,Bunzl
BRBY,Burberry Group
CPI,Capita
CUK,Carnival plc
CNA,Centrica
CCH,Coca-Cola HBC AG
CPG,Compass Group
CRH,CRH plc
CRDA,Croda International
DGE,Diageo
ENRC,Eurasian Natural Resources
EVR,Evraz
EXPN,Experian
FRES,Fresnillo plc
GFS,G4S
GKN,GKN
GSK,GlaxoSmithKline
GLEN,Glencore International
HMSO,Hammerson
HL,Hargreaves Lansdown
HSBA,HSBC
IMI,IMI plc
IMT,Imperial Tobacco Group
IHG,InterContinental Hotels Group
IAG,International Consolidated Airlines Group SA
ITRK,Intertek Group
ITV,ITV plc
SBRY,J Sainsbury plc
JMAT,Johnson Matthey
KGF,Kingfisher plc
LAND,Land Securities Group
LGEN,Legal & General
LLOY,Lloyds Banking Group
MKS,Marks & Spencer Group
MGGT,Meggitt
MRO,Melrose plc
MRW,Morrison Supermarkets
NG,National Grid plc
NXT,Next plc
OML,Old Mutual
PSO,Pearson plc
PFC,Petrofac
PRU,Prudential plc
RRS,Randgold Resources
RB,Reckitt Benckiser
REL,Reed Elsevier
FLG,Friends Life Group
REX,Rexam
RIO,Rio Tinto Group
RR,Rolls-Royce Group
RBS,Royal Bank of Scotland Group
RDSA,Royal Dutch Shell
RSA,RSA Insurance Group
SAB,SABMiller
SGE,Sage Group
SDR,Schroders
SRP,Serco
SVT,Severn Trent
SHPG,Shire plc
SNN,Smith & Nephew
SMIN,Smiths Group
SSE,SSE plc
STAN,Standard Chartered
SL,Standard Life
TATE,Tate & Lyle
TSCO,Tesco
TT,TUI Travel
TLW,Tullow Oil
ULVR,Unilever
UU,United Utilities
VED,Vedanta Resources
VOD,Vodafone Group
WEIR,Weir Group
WTB,Whitbread
WOS,Wolseley plc
WG_,Wood Group
WPP,WPP plc
XTA,Xstrata
